ts,run_id,generator,client_ip,method,path,payload,expected_label,attack_type,status,blocked,score,rule_score,ml_score,alerts,latency_ms,error
2026-09-09T13:09:56.537510+00:00,20260909-183956,brute_force,203.0.113.201,POST,/api/auth/register,username=victim_183956,0,none,201,0,0.0,0.0,,,429.23,
2026-09-09T13:09:56.921547+00:00,20260909-183956,brute_force,203.0.113.1,POST,/api/auth/login,username=victim_183956,1,brute_force,401,0,0.0,0.0,,,263.39,
2026-09-09T13:09:57.264424+00:00,20260909-183956,brute_force,203.0.113.1,POST,/api/auth/login,username=victim_183956,1,brute_force,401,0,0.0,0.0,,,222.02,
2026-09-09T13:09:57.629645+00:00,20260909-183956,brute_force,203.0.113.1,POST,/api/auth/login,username=victim_183956,1,brute_force,401,0,0.0,0.0,,,244.31,
2026-09-09T13:09:58.018634+00:00,20260909-183956,brute_force,203.0.113.1,POST,/api/auth/login,username=victim_183956,1,brute_force,401,0,0.0,0.0,,,263.53,
2026-09-09T13:09:58.152521+00:00,20260909-183956,brute_force,203.0.113.1,POST,/api/auth/login,username=victim_183956,1,brute_force,403,1,0.85,0.85,,AUTH_FAILURE_RATIO,12.99,
2026-09-09T13:09:58.284206+00:00,20260909-183956,brute_force,203.0.113.1,POST,/api/auth/login,username=victim_183956,1,brute_force,403,1,0.85,0.85,,AUTH_FAILURE_RATIO,11.09,
2026-09-09T13:09:58.416571+00:00,20260909-183956,brute_force,203.0.113.1,POST,/api/auth/login,username=victim_183956,1,brute_force,403,1,0.85,0.85,,AUTH_FAILURE_RATIO,11.49,
2026-09-09T13:09:58.547245+00:00,20260909-183956,brute_force,203.0.113.1,POST,/api/auth/login,username=victim_183956,1,brute_force,403,1,0.85,0.85,,AUTH_FAILURE_RATIO,9.89,
2026-09-09T13:09:58.675995+00:00,20260909-183956,brute_force,203.0.113.1,POST,/api/auth/login,username=victim_183956,1,brute_force,403,1,0.85,0.85,,AUTH_FAILURE_RATIO,7.91,
2026-09-09T13:09:58.806882+00:00,20260909-183956,brute_force,203.0.113.1,POST,/api/auth/login,username=victim_183956,1,brute_force,403,1,0.85,0.85,,AUTH_FAILURE_RATIO,10.2,
2026-09-09T13:09:58.937131+00:00,20260909-183956,brute_force,203.0.113.1,POST,/api/auth/login,username=victim_183956,1,brute_force,403,1,0.85,0.85,,AUTH_FAILURE_RATIO,9.69,
2026-09-09T13:09:59.065209+00:00,20260909-183956,brute_force,203.0.113.1,POST,/api/auth/login,username=victim_183956,1,brute_force,403,1,0.85,0.85,,AUTH_FAILURE_RATIO,7.55,
2026-09-09T13:09:59.193739+00:00,20260909-183956,brute_force,203.0.113.1,POST,/api/auth/login,username=victim_183956,1,brute_force,403,1,0.85,0.85,,AUTH_FAILURE_RATIO,8.04,
2026-09-09T13:09:59.323100+00:00,20260909-183956,brute_force,203.0.113.1,POST,/api/auth/login,username=victim_183956,1,brute_force,403,1,0.85,0.85,,AUTH_FAILURE_RATIO,8.55,
2026-09-09T13:09:59.452969+00:00,20260909-183956,brute_force,203.0.113.1,POST,/api/auth/login,username=victim_183956,1,brute_force,403,1,0.85,0.85,,AUTH_FAILURE_RATIO,9.2,
2026-09-09T13:10:00.128325+00:00,20260909-183956,brute_force,203.0.113.1,POST,/api/auth/login,username=victim_183956,1,brute_force,403,1,0.85,0.85,,AUTH_FAILURE_RATIO,554.26,
2026-09-09T13:10:00.258100+00:00,20260909-183956,brute_force,203.0.113.1,POST,/api/auth/login,username=victim_183956,1,brute_force,403,1,0.85,0.85,,AUTH_FAILURE_RATIO,8.95,
2026-09-09T13:10:00.388527+00:00,20260909-183956,brute_force,203.0.113.1,POST,/api/auth/login,username=victim_183956,1,brute_force,403,1,0.85,0.85,,AUTH_FAILURE_RATIO,9.73,
2026-09-09T13:10:00.520634+00:00,20260909-183956,brute_force,203.0.113.1,POST,/api/auth/login,username=victim_183956,1,brute_force,403,1,0.85,0.85,,AUTH_FAILURE_RATIO,11.41,
2026-09-09T13:10:00.650209+00:00,20260909-183956,brute_force,203.0.113.1,POST,/api/auth/login,username=victim_183956,1,brute_force,403,1,0.85,0.85,,AUTH_FAILURE_RATIO,8.73,
2026-09-09T13:10:00.777462+00:00,20260909-183956,brute_force,203.0.113.1,POST,/api/auth/login,username=victim_183956,1,brute_force,403,1,0.85,0.85,,AUTH_FAILURE_RATIO,6.16,
2026-09-09T13:10:00.906686+00:00,20260909-183956,brute_force,203.0.113.1,POST,/api/auth/login,username=victim_183956,1,brute_force,403,1,0.85,0.85,,AUTH_FAILURE_RATIO,8.48,
2026-09-09T13:10:01.038823+00:00,20260909-183956,brute_force,203.0.113.1,POST,/api/auth/login,username=victim_183956,1,brute_force,403,1,0.85,0.85,,AUTH_FAILURE_RATIO,11.4,
2026-09-09T13:10:01.168214+00:00,20260909-183956,brute_force,203.0.113.1,POST,/api/auth/login,username=victim_183956,1,brute_force,403,1,0.85,0.85,,AUTH_FAILURE_RATIO,8.46,
2026-09-09T13:10:01.298728+00:00,20260909-183956,brute_force,203.0.113.1,POST,/api/auth/login,username=victim_183956,1,brute_force,403,1,0.85,0.85,,AUTH_FAILURE_RATIO,9.55,
2026-09-09T13:10:01.428223+00:00,20260909-183956,brute_force,203.0.113.1,POST,/api/auth/login,username=victim_183956,1,brute_force,403,1,0.85,0.85,,AUTH_FAILURE_RATIO,8.68,
2026-09-09T13:10:01.560204+00:00,20260909-183956,brute_force,203.0.113.1,POST,/api/auth/login,username=victim_183956,1,brute_force,403,1,0.85,0.85,,AUTH_FAILURE_RATIO,10.21,
2026-09-09T13:10:01.692738+00:00,20260909-183956,brute_force,203.0.113.1,POST,/api/auth/login,username=victim_183956,1,brute_force,403,1,0.85,0.85,,AUTH_FAILURE_RATIO,11.99,
2026-09-09T13:10:01.819837+00:00,20260909-183956,brute_force,203.0.113.1,POST,/api/auth/login,username=victim_183956,1,brute_force,403,1,0.85,0.85,,AUTH_FAILURE_RATIO,6.47,
2026-09-09T13:10:01.945057+00:00,20260909-183956,brute_force,203.0.113.1,POST,/api/auth/login,username=victim_183956,1,brute_force,403,1,0.85,0.85,,AUTH_FAILURE_RATIO,4.94,
